PRDLST_NM,BSSH_NM,PRDT_SHAP_CD_NM
12종혼합유산균알파-2000,(주)메디오젠 충주원료공장,분말
12종혼합유산균알파-엘(L)2,(주)메디오젠,분말
12종혼합유산균알파-엘(L)2,(주)메디오젠 충주원료공장,분말
13종 바이오시아혼합유산균,(주)바이텍 익산지점,분말
"13종 혼합유산균 WB-3,000",위바이옴 익산공장,분말
14 Probiotics Powder (전량수출용),(주)씨티씨바이오,분말
1436 품,콜마비앤에이치(주)음성공장,캡슐
14in1 녹차카테킨+,주식회사한미양행,정
14일 슬림 컷팅 모로실 다이어트 C3G,광동헬스바이오(주) 2공장,정
15 데이즈엑스 위건강,주식회사 노바렉스,정
15종 혼합유산균 2000억,주식회사 락토메이슨,분말
15종알파혼합유산균-1000,(주)메디오젠,분말
15종혼합유산균감마-2500,(주)메디오젠,분말
15종혼합유산균감마-2500,(주)메디오젠 충주원료공장,분말
16.8 밸런스 프로바이오틱스(Balance Probiotics) (Dietary Supplement Product) (Bomi Brand),일동바이오사이언스(주),분말
16.8 비긴 프로바이오 플러스(16.8 BEGIN PROBIO+)(Dietary Supplement Product)(Bomi Brand)<전량수출용>,일동바이오사이언스(주),분말
16.8 비타 프로바이오 플러스(16.8 VITA PROBIO+)(Dietary Supplement Product)(Bomi Brand)<전량수출용>,일동바이오사이언스(주),분말
16종맘스유산균,(주)메디오젠,분말
16종알파혼합유산균에이(A)-4000,(주)메디오젠,분말
16종혼합유산균 디에스,(주)씨티씨바이오,분말
16종혼합유산균디아이(DI)-2800,(주)메디오젠 충주원료공장,분말
16종혼합유산균디아이(DI)-2800,(주)메디오젠,분말
16종혼합유산균프리미엄,(주)메디오젠,분말
17종 생유산균 프로바이오틱스,주식회사 다원바이오,분말
17종 혼합유산균,(주)케비젠,분말
17종 혼합유산균 1000억,주식회사 락토메이슨,분말
17종 혼합유산균 100억,주식회사 락토메이슨,분말
17종 혼합유산균 1011,(주)쎌바이오텍,분말
17종 혼합유산균 2000억,주식회사 락토메이슨,분말
17종 혼합유산균 2011,(주)쎌바이오텍,분말
17종 혼합유산균 3000억,주식회사 락토메이슨,분말
17종 혼합유산균 3000억 이엘(EL),주식회사 락토메이슨,분말
17종 혼합유산균 3011,(주)쎌바이오텍,분말
17종 혼합유산균 HP-200,(주)바이텍 익산지점,분말
17종 혼합유산균G,(주)메디오젠 충주원료공장,분말
17종 혼합유산균G,(주)메디오젠,분말
17종더프로바이오츄유산균디아이(DI),(주)메디오젠,분말
17종더프로바이오츄유산균디아이(DI),(주)메디오젠 충주원료공장,분말
17종라비센패밀리유산균,(주)메디오젠,분말
17종수퍼세븐틴유산균,(주)메디오젠 충주원료공장,분말
17종수퍼세븐틴유산균,(주)메디오젠,분말
17종알파혼합유산균-10,(주)메디오젠 충주원료공장,분말
17종알파혼합유산균-10,(주)메디오젠,분말
17종알파혼합유산균디(D),(주)메디오젠,분말
17종알파혼합유산균비(B)-3700,(주)메디오젠,분말
17종알파혼합유산균비(B)-3700,(주)메디오젠 충주원료공장,분말
17종알파혼합유산균에이(A),(주)메디오젠,분말
17종유산균-엠디(MD),(주)메디오젠,분말
17종유산균-엠디(MD),(주)메디오젠 충주원료공장,분말
17종포스트바이오틱스김치생유산균 키즈,주식회사 다원바이오,분말
17종혼합유산균 200B GN,(주)케비젠,분말
17종혼합유산균 LH,(주)휴온스엔,분말
17종혼합유산균 RS-200B GN,(주)케비젠,분말
17종혼합유산균-1000억,(주)메디오젠 충주원료공장,분말
17종혼합유산균-1000억,(주)메디오젠,분말
17종혼합유산균-2000억,(주)메디오젠,분말
17종혼합유산균-2000억,(주)메디오젠 충주원료공장,분말
17종혼합유산균-4000,(주)메디오젠 충주원료공장,분말
17종혼합유산균-4000,(주)메디오젠,분말
17종혼합유산균-디(D)1,(주)메디오젠 충주원료공장,분말
17종혼합유산균-디(D)1,(주)메디오젠,분말
17종혼합유산균-디(D)2,(주)메디오젠 충주원료공장,분말
17종혼합유산균-디(D)2,(주)메디오젠,분말
17종혼합유산균-알에스 200비(17종혼합유산균-RS 200B),(주)씨티씨바이오,분말
17종혼합유산균-알에스디(RSD),(주)씨티씨바이오,분말
17종혼합유산균-피비,(주)메디오젠,분말
17종혼합유산균더블유(W),(주)메디오젠,분말
17종혼합유산균더블유(W),(주)메디오젠 충주원료공장,분말
